Submission Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Desired Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,"Does Your Hack Need To Stay At Your Current Table? (I.E. Hardware, Vr/Ar Hacks That Are Difficult To Move.) If So, What Table Number Are You At?"
Untitled,"",Draft,Pending,Manage team,04/09/2022 09:52:46,"","",,"","",,"",0,""
The Integrating Factor,"",Draft,Pending,Project overview,04/09/2022 11:11:09,"","",,"","",,University of Maryland - College Park,0,""
pizzamaking.tech,https://bitcamp2022.devpost.com/submissions/320392-pizzamaking-tech,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 13:14:47,"What it does

Website about the technology that goes into pizza making

How we built it

domain.com and its integrated website builder

What's next for pizzamaking.tech

free trial expiration. rip
",http://pizzamaking.tech,,Best Domain Name from Domain.com - MLH,domain.com,,University of Maryland - College Park,0,no
Untitled,"",Draft,Pending,Manage team,04/09/2022 14:10:55,"","",,"","",,"",0,""
Vigilanterp,https://bitcamp2022.devpost.com/submissions/320425-vigilanterp,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 14:34:52,"Inspiration

My family has been relied on the Neighbors App to keep track of suspicious activity around our neighborhood. People can anonymously report a crime or a suspected crime and notify their neighbors. These reports are logged and shown on a map to give an overview of any threats around the neighborhood. 

Terp nightlife is a huge part of socializing at UMD. We decided to take a similar approach as the Neighbors App to protecting vulnerable Terps around campus. Imagine you and your friends are walking back to your dorm at 10pm, and a strange old man begins to follow you. You manage to evade him, but you're worried he might try to bother someone else. If you don't feel like calling the police, you can file an anonymous report on Vigilanterp describing the suspect, incident and auto-recorded location of the incident. Incidents will be displayed for all Terps to see on a real-time icon-coded map. A report can consist of a form and also a recording, either of yourself, a situation or a suspicious person. These recordings are a part of the public report and will be visible to UMPD through the cloud. 

What it does

When you open the app, you will be prompted to either file a report or view the report map. If you choose to file a report, you will categorize your report and fill out a form. An optional recording can accompany your report to provide further context or evidence. Recordings are automatically uploaded to the cloud, so police have instant access! Once you have filed your report, it will appear on the live incident map as a floating marker at the location where your incident happened, accessible by police and nearby users. 

How we built it

Using Flutter, a Dart framework for developing cross-platform mobile apps, we built our front-end and designed a simple UI. We utilized a plethora of Flutter packages to record, compress and upload videos to Firebase. Firebase is the basis of our back-end and stores user recordings on the cloud. Forms are also stored in the cloud using Firestore.

Challenges we ran into

Besides the hours of package installations and initial bug fixing, some challenges we encountered were...


Storage limitations on Firebase (incentivized adding video compression)
Work flow (learned and used Git and LiveShare VS plugins for workflow)
Jason and Yuvan are Flutter experts. Andrew (me) was not, so I spent plenty of time reading docs and learning
Version conflicts between Firebase and Camera APIs
Merging work on UI with back-end code
What concerns do people have while socializing at night? We asked a bunch of friends what they thought, and used feedback to design our different incident categories.


Accomplishments that we're proud of


Effective video compression that reduced cloud storage demands 3x
A great alternative to calling the police in many situations we've all experienced
A working app! We turned an idea into a full app that can help keep Terps safe in a matter of hours.
Learning! We all learned new APIs, languages and frameworks in the process.
Having this final product after only one/two days of work is something our group is proud of as a whole.


What we learned


Andrew 


Learned tons about Flutter and Dart development. 
Experience using Git and VS Code Live Share for collaboration.
Flutter camera API, location/coordinates API
UI design using widget-based approach
Uploading forms and videos to the cloud
Video compression for cloud storage maximization

Yuvan


Furthered my expertise with Flutter and Dart.
Learned more about Firebase and pushing live data, assets, and recordings to the cloud.
User interface (UI/UX) design.
Fetching immediate location coordinates using API's.

Jason 


Gained new experience with Flutter camera API.
Learned how to manipulate video files and upload to the cloud.
Learned techniques to simplify UI, including abstractions and use of shadows.
Practiced efficiency techniques in rapid mobile app prototyping.



What's next for Vigilanterp

In order to take Vigilanterp to market, we need to develop a police-side application for easy access to our database. Police can access data directly through our database, but we need to convert our raw data into simplified, AI-powered data and alerts to provide police with the most useful reports possible. Vigilanterp is an app that could truly change the game for keeping students and police safe and informed.
",https://github.com/jsteinberg7/vigilanterp/,https://youtu.be/uxaKv8_SLJ0,"Best Use of Google Cloud - MLH, Best Social Good Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp ","flutter, dart, cloud, firebase, google-cloud, git, github, camera, gps",,University of Maryland - College Park,2,""
Real Estate Viewer,https://bitcamp2022.devpost.com/submissions/320426-real-estate-viewer,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 14:40:16,"Inspiration

A Huge dataset of real estate was given.

What it does

It displays the data in a map format and users will be able to save the ones they like.

How we built it

Angular 13, Mapbox.js, Node.js, Java, CockcroachDB

Challenges we ran into

Dataset is not the very complete
First time using node.js to build backend api. 

Accomplishments that we're proud of

Able to visualized the map and also implement authentication with JWT token, but refreshing token and saving the token to have a valid session is still not done.

What we learned

node js api creation is so much easier than Spring Boot, but it's not as robust as the Spring Boot framework. A lot of the work is done with the framework in Spring Boot while node.js is more lightweight.

What's next for Real Estate Viewer

Adding filter functions to the viewer, and perhaps adding CDN server for storing the pictures. Complete login function with JWT sessions. Complete ""like"" and ""share"" functions.
","https://timeleapmachine.ai-amadeus.com, https://github.com/ericyu049/timeleapmachine, https://github.com/ericyu049/timeleapmachine-api",,"Best Use of Real Estate Data - CoStar Group, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","angular.js, node.js, mapbox, cockcroachdb",,"",0,""
Untitled,"",Draft,Pending,Manage team,04/09/2022 14:51:05,"","",,"","",,University of Maryland - College Park,0,""
Bits in the wall,https://bitcamp2022.devpost.com/submissions/320434-bits-in-the-wall,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 15:04:02,"Inspiration

We were inspired by the hit worldwide tv show series ""Hole in the Wall"". In that game show, participants have to move their body into a certain position before a moving wall comes and knocks them down. While we can't have a giant moving wall like the game show, we liked the idea of a game where you have to move to a position before time runs out.

We think this project has exciting applications in fitness and exercise. It can get people to stretch and move around, or even do yoga poses! We think everybody that's been sitting in their chair and coding for a long time (maybe even at this hackathon) should use this app to get up and move.

What it does

The object of the game is to fit your body inside the zone outlined in the blue area when the timer hits 0.

When you start the game, you are prompted to calibrate your body. Position your webcam so that it captures your whole body, then stand inside the zone for 3 seconds. After that, the game starts.

If your body's keypoints drawn by MoveNet collide with the blue area, the circle in the top right corner will turn red, and the colliding points will turn green. If you are in the zone when the timer hits 0, you pass and you get 1 point. Otherwise, you fail. After you fail 3 times, the game ends.

How we built it

to display the game and it's screens, along with capturing video, we used python's OpenCV package. To predict the body skeleton, we used MoveNet. 

Challenges we ran into

The first challenge we ran into was finding a good way to capture somebody's position. We were looking at semantic segmentation models at first, but they were slower. After finding MoveNet, we decided to pivot to using it instead.
The next large challenge was getting the python script we had to run on all of our different machines. Some of us had apple computers, and we had to spend a few hours getting the correct python, tensorflow, and opencv versions.
The next challenge was understanding the numpy array format that images were dealt with in our source code, and finding methods to do the tasks we needed to detect collision with our mask, as well as creating different while loops for different parts of the game.

Another challenge was attempting (unsuccessfully) to host a web version of this application.  When we first tested the model, we made a small Django site to relay a user's webcam feed to a local server running the model.  Excited, we sought to host it on a DigitalOcean box so we could have 24/7 runtime.  Unfortunately, although we did not run into any installation problems with the box, the specs were insufficient to run TensorFlow, so we tried a raspberry pi.  After hours trying to install a version of Python that supports TensorFlow, we realized that the pi's ARM processor was also insufficient.  We decided to open an ssh tunnel to one of our laptops instead.  As we developed the rest of the application, we tried to port the entire game to a website, but the site was very laggy.  We tried using WebSockets to stream a constant game feed from the server, but unfortunately that did not work.

Accomplishments that we're proud of

Creating the game

What we learned

We learned how OpenCV draws pictures and how pictures are stored in numpy arrays. We also learned how to switch between python versions and install packages, and how to collaborate using GitHub.

What's next for Hole in the wall

If we were to expand on this project, here are some things we thought of adding:


difficulty levels
multiplayer
leaderboard system
keypoint target positions you have to hit

","https://github.com/sbeven/bitcamp2022-v2, https://drive.google.com/file/d/1NyHcpkJPyMBwHK4AI63AgLL5BQw57mkV/view?usp=sharing",https://youtu.be/N6dKyX4EKvg,"Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best First Time Hack - Bitcamp","python, tensorflow, movenet, opencv",,University of Maryland - College Park,3,we want a corner or edge table (A1)
Codle,https://bitcamp2022.devpost.com/submissions/320435-codle,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 15:10:00,"Inspiration

Our inspirations for this project are the preexisting applications LeetCode (every CS major's bane) and Wordle (a word-guessing game from the New York Times).

What it does

Codle is a daily programming problem site that invokes the inviting nature of a Wordle problem. Users get six attempts to create a well-rounded solution to the presented coding problem, where each attempt will be assessed on five unknown tests.

How we built it

We used a ReactJS webpage hosted on GitHub Pages for the frontend of the application, and we interfaced between that and a Python Flask API hosted on Google Cloud to retrieve problems and assess each solution attempt.

Challenges we ran into

We struggled with allowing code which was entered into the textbox on the webpage to be run and tested, setting up the Flask API itself, and putting the Flask API on Google Cloud.

Accomplishments that we're proud of

We are proud that we we were able to submit a fully-featured, finished project that is really fun to play!

What we learned

We learned how to set up and host a Flask API, how to use Python exec() statements, and how to use JavaScript document selectors in more depth.

What's next for Codle

We plan to continue with daily coding problems for Codle, making sure that this easy-to-learn coding game becomes a mainstay in the programming community.
","https://pcbitcamp22.github.io/codle/, https://github.com/PCbitcamp22",https://youtu.be/g1EegQue6jY,"Best Use of Google Cloud - MLH, Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp","react, flask, python, javascript, html, css, google-cloud",,University of Maryland - College Park,3,No
Tango,https://bitcamp2022.devpost.com/submissions/320445-tango,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 15:31:26,"How we started

My teammates and I love music and wanted to do something with Spotify's API and dive deeper into the sound waves of music. Our idea is that people who listen to similar-sounding music probably have a lot more in common than just music taste. This is how Tango was born.

What is Tango?

A website that links musicians and casual listeners together through their most played Spotify songs. Our site uses spotifies API to display your top played songs.

The Backend

We used CockroachDB with MySQL for our database to store users' Spotify statistics and user information.

Challenges we faced

All of us are pretty new to hackathons so the environment took some getting used to. Beyond that, we have very little experience working with databases and front-end technologies like bootstrap, so it took us a while to get things to work.
",https://github.com/magic9995/BandTogether,,"Best Use of Data in an Application - Two Six Technologies, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","python, pandas, spotipy, bootstrap, cockroachdb, mysql, sql",,University of Maryland - College Park,3,No
DeepStandup,https://bitcamp2022.devpost.com/submissions/320471-deepstandup,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 16:36:37,"Inspiration

AI automates many services throughout society. How about automating your meetings?

Current advances in AI allow for realistic audio and video generation that can simulate yourself.

What it does

First, the program will join the meeting and listen to the meeting audio. Once it hears your name being called, it triggers the application to start the ""standup""

Given a provided voice sample an image, this will generate a realistic video of you saying that text using the  SV2TTS deep learning framework, which was developed by Google researchers.

Essentially, using a pretrained model, a 5 to 10 second a sample human voice, and a 10 to 20 word sentence, the AI model will generate a .wav file simulating the sample voice speaking the given sentence.

Then, we feed this audio file into either an image or a video of the sample person and lip-sync the audio with the video using Wav2Lip, which ultimately outputs a video file to use in the Zoom meeting.

Challenges we ran into

Integrating many different machine learning models, audio frameworks, and python libraries took a lot of time and we ran into many issues.

We also needed a lot of trial-and-error with trying to send video and audio from our program to the meeting software.

Accomplishments that we're proud of

Making everything run fast enough to run in real-time. We are happy that we got this to work. We might even use it on some of our meetings

Google Cloud

Our project would not have been possible without the excellent Google Cloud APIs. Specifically, we used the Speech-to-Text API.  This is because our application will listen for your name as a prompt before starting the fake standup video stream. Because this is a real-time application, the speed and reliability of this API was crucial for this product.
",https://github.com/sifbitcamp2022/fake-standup,,"Best Use of Google Cloud - MLH, Best Razzle Dazzle Hack - Bitcamp, Best Moonshot Hack - Bitcamp","python, google-cloud, pyaudio, machine-learning",,University of Maryland - College Park,3,""
Untitled,"",Draft,Pending,Manage team,04/09/2022 16:49:13,"","",,"","",,University of Maryland - College Park,0,""
Untitled,"",Draft,Pending,Manage team,04/09/2022 16:58:38,"","",,"","",,University of Maryland - College Park,0,""
Quantum Circuit Prediction Environment,https://bitcamp2022.devpost.com/submissions/320519-quantum-circuit-prediction-environment,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 17:41:35,"Inspiration

I wanted to combine AI with Quantum, but not by creating an AI that uses quantum computers. This is the result I came up with.

What it does

It gives an environment for an agent to experiment in to try and find at what frequencies a random quantum circuit will output each possibility.

How we built it

I used OpenAI gym to create the environment, and Qiskit to create the quantum circuit. I also created a Jupyter notebook for demonstration with an agent making decisions randomly.

Challenges we ran into

I wasn't sure how to represent the spaces the agent can view and act on at first. I also had some trouble getting the visualizations to work for a little bit.

Accomplishments that we're proud of

Doing the whole thing on my own in around 8-12 hours for my first hackathon, and having it work well

What we learned

Creating and evaluating quantum circuits

What's next for Quantum Circuit Prediction Environment

The biggest thing is adding a parameter for using an actual quantum computer for the circuit calculation rather than a simulator.
",https://github.com/turtledude1818/Quantum-env,,"","python, qiskit, gym",,"",0,""
Sequence Form Converter,https://bitcamp2022.devpost.com/submissions/320521-sequence-form-converter,Submitted (Gallery/Visible),Pending,Additional info,04/09/2022 17:45:31,"Inspiration

In my 250 class with Gasarch, I was given an assignment to write a program that would find the roots of a recursive formula where each term is a linear combination of the previous two terms. I went a little overboard and submitted a program that would find the whole closed form. In doing so, I generalized my code to work with any coefficients and any starting values. But that got me thinking, could I also generalize it to work with any number of terms? Turns out the answer is yes, and it worked even better than I expected.

What it does

For a recursive formula where each term is a linear combination of the previous t terms, the pattern described by the formula's coefficients is also exhibited by r^n  for each of t roots r. My program finds these roots by repetitively using the Newton-Raphson method for complex numbers. It then uses linear algebra to find which linear combination of the geometric sequences defined by those roots fulfills the initial values of the recursive formula.

How I built it

I decided to build my program entirely from scratch using python's builtins. The only tools that I imported were functools.wraps() (to preserve meta-info when using the cache decorator I created), time.sleep() (to make my UI more readable), And the ""typing"" library to annotate my code. I also used operator overrides in all of my objects to make my code as readable as possible.

Challenges I ran into

One problem that I ran into was the fact that the Newton-Raphson method only approximates roots to a specified precision, and will usually not get the exact root, which introduces error into the system. Because of the limits of float size in python, the precision can only be so high, giving the closed form calculation an estimated +-(10^-8)% error, which though small, still makes the closed form only an approximation and not an exact representation. On lower terms, this error is hidden because the output is truncated to 5 decimal places.

Accomplishments that I'm proud of

When I first thought of this project, it was mainly as a joke. But I talked about it with some friends and we started to get all hyped up about whether or not it was possible. I wasn't sure it could be done, but once I had a plan in my mind I had to execute it. That first moment when my solution came together and spit out the Fibonacci Sequence was so cathartic, and my excitement only grew as I threw in more and more initial conditions and watched it accurately approximate all of them.

What I learned

I learned a lot about operator overriding and building interconnected classes.

What's next for Sequence Form Converter

This was really just a fun experiment in my capabilities both as a programmer and a mathematician. Though the idea of converting recursive sequences into closed forms is useful generally because it reduces algorithmic complexity when finding terms, simple sequences like the ones I evaluated with this program can be run relatively quickly in their recursive forms.
",https://github.com/TheMLevin/SequenceFormConverterBitcamp2022,,"Best Educational Hack - Bloomberg, Best Moonshot Hack - Bitcamp, Best DIY Hack - Bitcamp",python,,University of Maryland - College Park,0,No
